"key","value","index"
"26-W31",0.933,56
"26-W31",0.923,57
"26-W31",0.923,58
"26-W31",0.906,59
"26-W31",0.911,60
"26-W31",0.895,61
"26-W31",0.888,62
"26-W31",0.906,63
"26-W31",0.845,64
"26-W31",0.88,65
"26-W31",0.863,66
"26-W31",0.876,67
"26-W31",0.909,68
"26-W31",0.84,69
"26-W31",0.703,70
"26-W31",0.821,71
"26-W31",0.872,72
"26-W31",0,73
"26-W31",0,74
"26-W31",1.072,75
"26-W31",1.079,76
"26-W31",1.091,77
"26-W31",1.111,78
"26-W31",1.125,79
"26-W31",1.125,80
"27-W20",0,1
"27-W20",0,2
"27-W20",0,3
"27-W20",0,4
"27-W20",0,5
"27-W20",0,6
"27-W20",0,7
"27-W20",0,8
"27-W20",0,9
"27-W20",0,10
"27-W20",0,11
"27-W20",0,12
"27-W20",0,13
"27-W20",0,14
"27-W20",0,15
"27-W20",0,16
"27-W20",0,17
"27-W20",0,18
"27-W20",0,19
"27-W20",0,20
"27-W20",0,21
"27-W20",0,22
"27-W20",0,23
"27-W20",0,24
"27-W20",0,25
"27-W20",0,26
"27-W20",0,27
"27-W20",0,28
"27-W20",0,29
"27-W20",0,30
"27-W20",0,31
"27-W20",0,32
"27-W20",0,33
"27-W20",0,34
"27-W20",0,35
"27-W20",0,36
"27-W20",0,37
"27-W20",0,38
"27-W20",0,39
"27-W20",0,40
"27-W20",0,41
"27-W20",0,42
"27-W20",0,43
"27-W20",0,44
"27-W20",0,45
"27-W20",0,46
"27-W20",0,47
"27-W20",0,48
"27-W20",0,49
"27-W20",0,50
"27-W20",0,51
"27-W20",0,52
"27-W20",0,53
"27-W20",0,54
"27-W20",0,55
"27-W20",0,56
"27-W20",0,57
"27-W20",0,58
"27-W20",0,59
"27-W20",0,60
"27-W20",0,61
"27-W20",0,62
"27-W20",0,63
"27-W20",0,64
"27-W20",0,65
"27-W20",0,66
"27-W20",0,67
"27-W20",0,68
"27-W20",0,69
"27-W20",0,70
"27-W20",0,71
"27-W20",0,72
"27-W20",0,73
"27-W20",0,74
"27-W20",0,75
"27-W20",0,76
"27-W20",0,77
"27-W20",0,78
"27-W20",0,79
"27-W20",0,80
"30-W40",0.8,1
"30-W40",0.8,2
"30-W40",0.6,3
"30-W40",0.8,4
"30-W40",0.65,5
"30-W40",1,6
"30-W40",0.85,7
"30-W40",0.95,8
"30-W40",1.1,9
"30-W40",0.9,10
"30-W40",0.75,11
"30-W40",0.9,12
"30-W40",0.65,13
"30-W40",0,14
"30-W40",0.65,15
