"name","demand","degree","strength","closeness","betweenness","eccentricity","tank_distance"
"11163",0.46081948,2,331.772,2.26786187087355e-09,22220,305,88
"11164",0.50043856,2,377.901,2.30847527116979e-09,52651,302,85
"11165",0.50043856,2,297.887,2.31877462336015e-09,67044,301,84
"11166",0.50043856,2,247.284,2.33158051048306e-09,81470,300,83
"11167",0.50043856,2,148.684,2.33816793223512e-09,96057,299,82
"11168",0.10217123,2,145.957,2.34220829956422e-09,228674,298,81
"11169",0.24760551,2,332.401,2.35444634809899e-09,31832,301,84
"1117",0.2540377,2,296.921,1.91455049574217e-09,757,373,138
"11170",0.24760551,2,105.392,2.35827648497356e-09,41282,302,85
"11171",0.23066197,3,77.519,2.35993278990932e-09,159351,301,84
"11172",0.31906338,2,188.265,2.28778726775579e-09,16542,303,86
"11173",0.31906338,2,323.887,2.29218857234128e-09,30524,302,85
"11174",0.43213923,2,543.004,2.29099802360884e-09,47464,302,85
"11175",0.43213923,2,354.92,2.30886304197718e-09,61199,301,84
"11176",0.24895761,2,460.543,2.32174310570346e-09,74247,302,85
"11177",0.24895761,2,406.703,2.35129227598716e-09,88874,301,84
"11178",0.24895761,2,117.814,2.35408022051217e-09,103773,300,83
"11179",0.24895761,2,110.014,2.36106917209996e-09,118737,299,82
"1118",0.37951584,2,375.692,1.92718227613953e-09,15378,372,137
"11180",0.59715678,2,76.032,1.86485504432925e-09,16185,380,145
"11181",0.59715678,2,188.837,1.86702895151341e-09,30647,381,146
"11182",0.70704315,2,510.275,1.88833483144103e-09,32461,374,139
"11183",0.70704315,2,459.493,1.87226454454394e-09,17569,375,140
"11184",0.70704315,2,593.138,1.86424850739647e-09,2688,376,141
"11185",0.32620845,2,83.867,1.87488865365626e-09,135592,380,145
"11186",0.19567606,2,196.022,1.86213151336986e-09,1396,384,149
"11187",0.20176711,2,84.757,1.94903191683914e-09,479903,373,138
"11188",0.20176711,2,77.936,1.95101107710813e-09,494430,372,137
"11189",0.52319145,2,64.423,1.88523273806362e-09,162572,382,147
"1119",0.34986967,1,241.615,1.9214955721137e-09,0,372,137
"11190",0.52319145,2,195.159,1.88695470810594e-09,177496,381,146
"11191",0.01369769,2,174.394,1.94770202344293e-09,356142,372,137
"11192",0.61675524,2,182.758,1.90335329022235e-09,251801,378,143
"11193",0.61675524,2,353.106,1.90815515253202e-09,266682,377,142
"11194",0.34141742,2,136.224,1.89120963423133e-09,1064,379,144
"11195",0.34141742,2,332.05,1.89101961177034e-09,836,378,143
"11196",0.34141742,2,489.604,1.90358514555695e-09,15414,377,142
"11197",0.37961228,2,76.955,1.96678370340857e-09,193837,372,137
