"chain_id","vertex_name"
206,"1048"
206,"11161"
206,"11162"
207,"10486"
207,"10485"
207,"10484"
207,"10483"
208,"10490"
208,"10489"
208,"10488"
208,"10487"
209,"1049"
210,"10492"
210,"10491"
211,"69"
211,"10493"
212,"70"
212,"10494"
213,"71"
213,"10495"
214,"10496"
214,"73"
215,"10499"
215,"10498"
215,"10497"
216,"105"
216,"10523"
216,"10524"
216,"10525"
216,"10526"
216,"10527"
216,"10528"
216,"10529"
217,"79"
217,"10500"
218,"10502"
218,"10501"
219,"10502"
219,"10501"
219,"81"
219,"80"
219,"10504"
220,"10505"
220,"88"
220,"87"
220,"10508"
220,"10507"
220,"10506"
220,"89"
221,"10511"
221,"10510"
221,"10509"
222,"94"
222,"10513"
222,"10512"
223,"10514"
223,"97"
224,"10516"
224,"10515"
225,"1052"
225,"11163"
226,"1053"
226,"11164"
226,"11165"
226,"11166"
226,"11167"
226,"1055"
226,"1056"
227,"10531"
227,"10530"
228,"10534"
228,"10533"
228,"10532"
229,"113"
229,"10535"
230,"10538"
230,"10537"
230,"10536"
231,"10544"
231,"10543"
231,"10542"
231,"10541"
231,"10540"
231,"10539"
232,"10546"
232,"10545"
233,"10550"
233,"10549"
233,"10548"
233,"10547"
234,"128"
234,"10551"
235,"131"
235,"10553"
235,"10552"
236,"136"
236,"10554"
237,"10558"
237,"10557"
237,"10556"
237,"10555"
238,"10561"
238,"144"
238,"143"
238,"10560"
238,"10559"
239,"10563"
239,"10562"
240,"149"
240,"10564"
241,"10567"
241,"158"
241,"157"
241,"10566"
241,"10565"
242,"10570"
242,"10569"
242,"10568"
243,"1057"
243,"11168"
244,"160"
244,"164"
244,"165"
244,"10571"
245,"10575"
245,"10574"
245,"10573"
245,"10572"
246,"176"
246,"10576"
247,"10579"
247,"10578"
247,"10577"
248,"1058"
248,"11169"
248,"11170"
249,"10584"
249,"10583"
249,"10582"
249,"10581"
249,"10580"
250,"184"
250,"10585"
251,"10588"
251,"10587"
251,"10586"
252,"10590"
252,"10589"
253,"188"
253,"10591"
254,"197"
254,"10593"
254,"10592"
255,"10596"
255,"10595"
255,"10594"
256,"201"
256,"10597"
257,"10599"
257,"10598"
258,"228"
258,"10627"
258,"106"
259,"10602"
259,"10601"
260,"10606"
260,"10605"
260,"10604"
260,"10603"
261,"10608"
261,"10607"
262,"10608"
262,"10607"
262,"211"
262,"210"
262,"10610"
262,"10609"
263,"1061"
263,"11172"
263,"11173"
264,"216"
264,"10611"
265,"10614"
265,"10613"
266,"10617"
266,"10616"
266,"10615"
267,"10624"
267,"10623"
267,"10622"
267,"10621"
267,"10620"
267,"10619"
268,"1062"
268,"11174"
268,"11175"
269,"225"
269,"10625"
270,"227"
270,"10626"
271,"10630"
271,"10629"
271,"10628"
272,"236"
272,"10632"
272,"10631"
